ompany Name,Ticker,観測ステータス,Country,Ecosystem,Field,PORTFOLIO_POSITION,Primary Role,url,保有者,配当日
Apple,AAPL,重点観測,USA,ディフェンシブ,テクノロジー,デジタル生活のインフラ,個人の思考と記憶を繋ぎ止める現代の「筆記具」,link,バークシャー,"2,5,8,11"
American Express,AXP,観測中,USA,ディフェンシブ,金融サービス,信用ネットワークの門番,特権と信頼を還流させるグローバルな「通行手形」,link,バークシャー/ロンリード,"1,4,7,10"
Bank of America,BAC,観測中,USA,ディフェンシブ,銀行,資本の貯水池,経済の血液を循環させる巨大な「大噴水」,link,バークシャー/ロンリード,"3,6,9,12"
Coca-Cola,KO,重点観測,USA,ディフェンシブ,飲料,普遍的な喉の潤い,100年変わらぬレシピで渇きを癒やす「聖水」の分配,link,バークシャー,"4,7,10,12"
Chevron,CVX,観測中,USA,ディフェンシブ,エネルギー,化石燃料の最後の砦,現代文明の火を絶やさない「油問屋」の総元締,link,バークシャー,"3,6,9,12"
Moody's,MCO,観測中,USA,ディフェンシブ,金融サービス,格付けの審判員,市場の「正しさ」を定義する現代の「検校」,link,バークシャー,"3,6,9,12"
Occidental Petroleum,OXY,観測中,USA,ディフェンシブ,エネルギー,炭素還流の先駆者,石油を掘り、炭素を埋める「土壌の調律師」,link,バークシャー,"1,4,7,10"
Chubb,CB,観測中,USA,ディフェンシブ,保険,リスクの受け皿,万が一の災厄を平準化する「相互扶助」の極致,link,バークシャー,"1,4,7,10"
Kraft Heinz,KHC,観測中,USA,ディフェンシブ,食品,食卓の彩り師,慣れ親しんだ味で安心を届ける「現代の調味料屋」,link,バークシャー,"3,6,9,12"
Alphabet,GOOGL,重点観測,USA,ディフェンシブ,インターネット,情報の図書館,全人類の知を整理し、アクセスを可能にする「現代の公文書館」,link,バークシャー,N/A
New York Times,NYT,観測中,USA,ディフェンシブ,メディア,言葉の定着師,混乱する世界に「記述」という楔を打ち込む「瓦版」の最高峰,link,バークシャー,"1,4,7,10"
Walmart,WMT,重点観測,USA,ディフェンシブ,小売,供給網の総督,生活必需品を最安値で還流させる「大江戸の卸問屋」,link,エル,"1,4,6,9"
Sherwin-Williams,SHW,観測中,USA,ディフェンシブ,化学,景観の守護者,世界を塗り替え、劣化から守る「現代の漆塗り」,link,エル,"3,6,9,12"
Procter & Gamble,PG,重点観測,USA,ディフェンシブ,日用品,生活の基底膜,日々の清潔と養生を支える「現代の始末屋」,link,エル/ロンリード,"2,5,8,11"
CVS Health,CVS,観測中,USA,ディフェンシブ,ヘルスケア,街の養生所,処方箋と日常のケアを繋ぐ「現代の薬種屋」,link,エル/ロンリード,"2,5,8,11"
Johnson & Johnson,JNJ,重点観測,USA,ディフェンシブ,ヘルスケア,生命の絆の番人,絆創膏から手術ロボまで、命の「普請」を支える,link,エル/ロンリード,"3,6,9,12"
Starbucks,SBUX,観測中,USA,ディフェンシブ,飲食店,第三の居場所,喧騒の中に静寂を売る「現代の茶屋」,link,エル,"2,5,8,11"
Mastercard,MA,重点観測,USA,ディフェンシブ,金融サービス,価値交換の神経網,現金の重みから解放する「見えない両替商」,link,エル,"2,5,9,11"
Abbott Laboratories,ABT,観測中,USA,ディフェンシブ,ヘルスケア,診断の羅針盤,体内の「今」を数値化する「現代の蘭学者」,link,エル,"2,5,8,11"
Domino's Pizza,DPZ,観測中,USA,ディフェンシブ,飲食店,胃袋の即時還流,時間を短縮し満足を届ける「現代の出前」,link,エル,"3,6,9,12"
Vanguard VIG,VIG,重点観測,USA,ディフェンシブ,ETF,増配の年輪,成長し続ける企業の集合体、まさに「投資の森」,link,エル,"3,6,9,12"
Nike,NKE,観測中,USA,ディフェンシブ,アパレル,身体の拡張機,「ただ動け」と背中を押す「現代の草鞋師」,link,エル,"1,4,7,10"
Visa,V,重点観測,USA,ディフェンシブ,金融サービス,決済の標準言語,世界中どこでも「通じる」価値の定着装置,link,エル,"3,6,9,12"
Costco,COST,重点観測,USA,ディフェンシブ,小売,蔵造りの大倉庫,まとめ買いという「始末」の文化を体現する場所,link,エル,"2,5,8,11"
UnitedHealth,UNH,観測中,USA,ディフェンシブ,ヘルスケア,医療のオーケストレーター,膨大なデータを命に還流させる「現代の養生訓」,link,エル,"3,6,9,12"
Union Pacific,UNP,観測中,USA,ディフェンシブ,鉄道,大陸の動脈,鉄路で物流を支える「現代の五街道」,link,エル,"3,6,9,12"
McCormick,MKC,観測中,USA,ディフェンシブ,食品,味覚の調律師,世界中の香りを還流させる「現代の香具師」,link,エル/ロンリード,"1,4,7,10"
Church & Dwight,CHD,観測中,USA,ディフェンシブ,日用品,重曹の錬金術師,素朴な素材で清潔を守る「知恵のパッケージ」,link,エル,"3,6,9,12"
Home Depot,HD,観測中,USA,ディフェンシブ,小売,普請の道具屋,自らの手で生活を修繕する「DIY文化」の供給源,link,エル,"3,6,9,12"
Lockheed Martin,LMT,観測中,USA,ディフェンシブ,防衛,守護の技術者,圧倒的な力で均衡を保つ「現代の城郭師」,link,エル,"3,6,9,12"
Danaher,DHR,観測中,USA,ディフェンシブ,ライフサイエンス,改善の科学者,絶え間ない最適化を繰り返す「カイゼンの思想」,link,エル,"1,4,7,10"
AbbVie,ABBV,観測中,USA,ディフェンシブ,ヘルスケア,免疫の調停者,過剰な反応を抑え、調和を取り戻す「生命の調律」,link,エル,"2,5,8,11"
3M,MMM,観測中,USA,ディフェンシブ,複合,万能の接着師,異なる技術を繋ぎ、新構造を生む「現代の細工師」,link,エル,"3,6,9,12"
Philip Morris,PM,観測中,USA,ディフェンシブ,嗜好品,煙なき憩いの創造者,習慣を技術で変容させる「現代の嗜み」,link,エル,"1,4,7,10"
Altria,MO,観測中,USA,ディフェンシブ,嗜好品,伝統的嗜好の継承者,規制の荒波を越えて還流する「古き良き煙」,link,エル,"1,4,7,10"
PepsiCo,PEP,観測中,USA,ディフェンシブ,飲料・スナック,娯楽的栄養の提供者,日常の中の小さな「悦び」を量産する装置,link,エル,"1,3,6,9"
JPMorgan Chase,JPM,重点観測,USA,ディフェンシブ,銀行,資本の総督,グローバル金融の「中心点」として君臨する,link,ロンリード,"1,4,7,10"
