Company Name,Company Name_en,Country,Field,Primary Role,Ticker
キオクシア,Kioxia Holdings Corporation,JP,データストレージ,NANDフラッシュ。AI時代の記憶素子,N/A
NEC,NEC Corporation,JP,データストレージ,企業・DC向けストレージ／サーバー,6701.T
日立製作所,"Hitachi, Ltd.",JP,データストレージ,ストレージ＋制御系,6501.T
富士通,Fujitsu Limited,JP,データストレージ,データセンター向けIT基盤,6702.T
東芝デバイス＆ストレージ,Toshiba Electronic Devices & Storage,JP,データストレージ,ストレージ用半導体,N/A
九電工,Kyudenko Corporation,JP,建設・電力,電力・空調工事,1959.T
住友電工,Sumitomo Electric Industries,JP,建設・電力,光ファイバー・送電線,5802.T
きんでん,Kinden Corporation,JP,建設・電力,電力・通信インフラ工事,1944.T
東光高岳,"Toko Takaoka Co., Ltd.",JP,建設・電力,変電・送配電機器,6617.T
古河電工,"Furukawa Electric Co., Ltd.",JP,建設・電力,光ファイバー・DC配線,5801.T
フジクラ,Fujikura Ltd.,JP,建設・電力,高速通信ケーブル,5803.T
JERA,"JERA Co., Inc.",JP,発電・電力,発電専業（基幹電源）,N/A
関西電力,Kansai Electric Power Company,JP,発電・電力,電力供給・DC対応,9503.T
ダイキン工業,"Daikin Industries, Ltd.",JP,空調・冷却,DC向け空調・冷却,6367.T
クボタ,NTT DATA Group Corporation,JP,水インフラ,水インフラ・管路,9613.T
日立グローバルライフソリューションズ,Ebara Corporation,JP,空調・冷却,大規模空調,6361.T
メタウォーター,Mitsubishi Heavy Industries,JP,水インフラ,上下水処理,7011.T
三菱重工業,"Cybozu, Inc.",JP,非常電源,発電・非常電源,4776.T
NTTデータ,FUJIFILM Holdings Corporation,JP,ソフトウエア,DC運用・業務基盤,4901.T
ヤンマー,Nomura Research Institute,JP,非常電源,非常用発電機,4307.T
野村総合研究所,Nippon Sanso Holdings,JP,ソフトウエア,企業IT・データ基盤,4091.T
サイボウズ,Nissan Chemical Corporation,JP,ソフトウエア,業務アプリ層,4021.T
ソラコム,Tokyo Electron Limited,JP,ソフトウエア,通信・IoT基盤,8035.T
UACJ,,JP,素材,アルミ,5741
DOWAホールディングス,,JP,素材,都市鉱山・分別,5714
TREホールディングス,,JP,素材,解体・リサイクル,9247
JERA,,JP,建設・電力,非FIT・企業PPA,9519.T
レノバ,,JP,建設・電力,火力・再エネ・将来原子力,—
